"mdl_url","title_en","title_zh","genres","Action","Adventure","Business","Comedy","Crime","Documentary","Drama","Family","Fantasy","Food","Historical","Horror","Law","Life","Martial Arts","Medical","Melodrama","Military","Music","Mystery","Political","Psychological","Romance","Sci-Fi","Sitcom","Sports","Supernatural","Thriller","Tokusatsu","War","Wuxia","Youth"
"/66743-the-day-of-becoming-you","The Day of Becoming You","变成你的那一天","Comedy, Romance, Supernatural",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"/26035-guardian","Guardian","镇魂","Thriller, Mystery, Fantasy",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"/27467-go-go-squid","Go Go Squid!","亲爱的，热爱的","Comedy, Romance, Youth, Sports",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"/70645-reunion-the-sound-of-the-providence-season-2","Reunion: The Sound of the Providence Season 2","重啟之極海聽雷第二季","Adventure, Thriller, Mystery, Fantasy",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"/31194-the-prince-of-tennis","The Prince of Tennis","奋斗吧，少年！","Youth, Drama, Sports",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"/49871-love-is-sweet","Love Is Sweet","半是蜜糖半是伤","Business, Comedy, Romance",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/692791-cai-bu-yao-he-lao-ban-tan-lian-ai","Legally Romance","才不要和老板谈恋爱","Comedy, Law, Romance, Fantasy",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"/49485-the-long-night","The Long Night","沉默的真相","Thriller, Mystery, Drama",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"/28435-the-longest-day-in-chang-an","The Longest Day in Chang'an","长安十二时辰","Action, Thriller, Historical, Political",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"/70237-accompany-you-to-fly-by-the-wind","To Fly With You","陪你逐风飞翔","Comedy, Romance, Youth, Sports",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
