"mdl_url","title_en","year","eps","title_zh","genres","tags"
"/59021-tian-ya-ke","Word of Honor",2021,36,"山河令","Mystery, Wuxia, Fantasy, Political","Hidden Identity, Censored Adaptation Of Same-sex Original Work, Antihero, Adapted From A Novel, Jianghu, Martial Arts, Badass Male Lead, Playful Male Lead, Revenge, Tragic Past"
"/76433-secrets-in-the-lattice","Our Secret",2021,24,"暗格里的秘密","Romance, Life, Youth","High School To College, Friends To Lovers, First Love, High School, University, Shy Female Lead, Secret Crush, Friendship, Adapted From A Novel, Strict Parents"
"/50395-forever-love","Forever Love",2020,28,"百岁之好，一言为定","Comedy, Romance, Youth, Drama","Healthy Mains’ Relationship, Calm Male Lead, Friendship, Fluffy, High School To Working Life, Smart Male Lead, Smart Female Lead, Friends To Lovers, Multiple Couples, Campus Setting"
"/67269-the-moment-of-meeting-again","Shining for One Thing",2022,24,"一闪一闪亮星星","Mystery, Romance, Youth, Fantasy","Suspense, Time Travel, Secret Crush, High School, Friendship, Investigation, Flashback To Past, Slight Comedy, Alternate Universe, Protective Male Lead"
"/24018-the-kings-avatar","The King’s Avatar",2019,40,"全职高手","Action, Youth, Sports","Online Gaming, Smart Male Lead, Game, Competition, Professional Gaming, Sismance, Hardworking Female Lead, Tournament, Bromance, Esports Industry"
"/54335-my-small-indeed-fortunate","My Little Happiness",2021,28,"我的小确幸","Comedy, Law, Romance, Drama","Male Chases Female First, Adapted From A Novel, First Love, Childhood Crush, Fluffy, Steamy Kiss, Healthy Mains’ Relationship, Secondary Couple, Internship, Smart Female Lead"
"/30919-arsenal-military-academy","Arsenal Military Academy",2019,48,"烈火军校","Action, Military, Historical, Romance","Cross-Dressing, Eccentric Male Lead, Character Development, Military Training, Strong Female Lead, Hardworking Female Lead, Smart Male Lead, Love Triangle, Badass Male Lead, Slow Burn Romance"
"/687517-wo-zai-ta-xiang-ting-hao-de","Remembrance of Things Past",2021,12,"我在他乡挺好的","Romance, Life, Drama","Suicide, Multiple Mains, Best Friends' Relationship, Friendship, Age Gap [Drama Life], Death, Sismance, Workplace Setting, Age Gap [Real Life], Successful Female Lead"
"/27234-le-coup-de-foudre","Le Coup de Foudre",2019,35,"我只喜欢你","Comedy, Romance, Life, Youth","High School To Working Life, Meet Again, Adapted From A Novel, High School, Friends To Lovers, Sismance, Smart Male Lead, Multiple Couples, Lovers Separated, Based On True Story"
"/66743-the-day-of-becoming-you","The Day of Becoming You",2021,26,"变成你的那一天","Comedy, Romance, Supernatural","Body Swap, Famous Lead/Common Lead, Friends To Lovers, Healthy Mains’ Relationship, Steamy Kiss, Opposites Attract, Hardworking Female Lead, Strong Female Lead, Nice Male Lead, Cheerful Female Lead"
"/26035-guardian","Guardian",2018,40,"镇魂","Thriller, Mystery, Fantasy","Bromance, Censored Adaptation Of Same-sex Original Work, Hidden Identity, Lovers Separated, Star Crossed Lovers, Supernatural, Adapted From A Novel, Homoerotic Subtext, Death, Tragic Past"
"/27467-go-go-squid","Go Go Squid!",2019,41,"亲爱的，热爱的","Comedy, Romance, Youth, Sports","Female Chases Male First, Love At First Sight, Competition, Cold Man/Warm Woman, Smart Male Lead, Fluffy, Teamwork, Rivalry, Older Man/Younger Woman, Gaming"
"/70645-reunion-the-sound-of-the-providence-season-2","Reunion: The Sound of the Providence Season 2",2020,30,"重啟之極海聽雷第二季","Adventure, Thriller, Mystery, Fantasy","Smart Male Lead, Bromance, Survival, Illness, Teamwork, Treasure Hunting, Adapted From A Novel, Tomb Raiding, Smoking, Multiple Mains"
"/31194-the-prince-of-tennis","The Prince of Tennis",2019,42,"奋斗吧，少年！","Youth, Drama, Sports","Adapted From A Manga, Bromance, High School, Slight Romance, Competition, Student Male Lead, School Setting, Tennis Player Male Lead, Child Prodigy Male Lead, Teenager Male Lead"
"/49871-love-is-sweet","Love Is Sweet",2020,36,"半是蜜糖半是伤","Business, Comedy, Romance","Male Chases Female First, Steamy Kiss, First Love, Rivalry, Adapted From A Novel, Strong Female Lead, Secret Love, Multiple Couples, Smart Male Lead, Secret Crush"
"/692791-cai-bu-yao-he-lao-ban-tan-lian-ai","Legally Romance",2022,33,"才不要和老板谈恋爱","Comedy, Law, Romance, Fantasy","Return To Past, Secret Crush, Male Chases Female First, Boss-Employee Relationship, Time Travel, Regret, Father-Daughter Relationship, Lawyer Male Lead, Supportive Parents, Dream World"
"/49485-the-long-night","The Long Night",2020,12,"沉默的真相","Thriller, Mystery, Drama","Adapted From A Novel, Corruption, Web Series, Death, Sexual Assault, Smart Male Lead, Conspiracy, Investigation, Psychological, Suspense"
"/28435-the-longest-day-in-chang-an","The Longest Day in Chang'an",2019,48,"长安十二时辰","Action, Thriller, Historical, Political","Power Struggle, Tang Dynasty, Hidden Past, Badass Male Lead, Violence, Skilled Fighter, Emperor Xuanzong Of Tang, Political Intrigue, Fight, Tough Male Lead"
"/70237-accompany-you-to-fly-by-the-wind","To Fly With You",2021,35,"陪你逐风飞翔","Comedy, Romance, Youth, Sports","Short Track Speed Skating, Figure Skating, Rivals To Lovers, Male Chases Female First, Healthy Mains’ Relationship, Winter Sport, Teamwork, Love/Hate Relationship, Competition, Disapproving Parent"
"/4474-legend-of-concubine-zhen-huan","Legend of Concubine Zhen Huan",2012,76,"後宮甄嬛傳","Historical, Drama, Melodrama, Political","Harem, Concubine, Qing Dynasty, Strong Female Lead, Adapted From A Novel, Revenge, Palace Setting, Power Struggle, Historical Figure, Death Of A Friend"
