"title_en","mdl_url","year","eps"
"The Ordinary Glory","/29366-ordinary-glory","2020","41"
"Mysterious Love","/64767-ban-yin","2021","16"
"Operation: Special Warfare","/64281-lan-se-shan-dian","2022","35"
"Princess Silver","/28600-princess-silver","2019","58"
"Nothing Gold Can Stay","/20584-nothing-gold-can-stay","2017","74"
"Be With You","/49155-be-with-you","2020","24"
"Chef Fang","/23514-hua-jian-ti-hu-fang-da-chu","2017","36"
"Octogenarian and the 90s","/61837-octogenarians-and-the-90s","2021","43"
"Legend of Lu Zhen","/4269-legend-of-lu-zhen","2013","59"
"Growing Pain","/30965-growing-pain","2019","40"
"Insect Detective","/53537-insect-detective","2020","24"
"Find Yourself","/30372-find-yourself","2020","41"
"The Sleepless Princess","/58693-the-sleepless-princess","2020","35"
"The Heart of Genius","/60653-basic-law-of-genius","2022","34"
"The Autumn Ballad","/62621-yan-yu-fu","2022","34"
"The Eternal Love Season 3","/31927-the-eternal-love-3","2021","30"
"Night of Love With You","/723937-night-of-love-with-you","2022","24"
"Original Sin","/30531-original-sin","2018","24"
"Let's Meet Now","/694981-let-s-meet-now","2022","20"
"Closer to You","/54855-closer-to-you","2020","24"
"The Legendary Life of Queen Lau","/685283-the-legendary-life-of-queen-lau","2022","36"
"GO Into Your Heart","/57369-chess-love","2021","41"
"Since I Met U","/705697-you-are-my-cosset","2022","16"
"Day and Night","/25135-day-and-night","2017","32"
"Die Now","/26512-die-now","2017","20"
"No Boundary Season 2","/700057-no-boundary-season-2","2021","20"
"Fake Princess","/36819-counterfeit-crown-princess","2020","27"
"A Female Student Arrives at the Imperial College","/63349-here-comes-a-female-student-at-guo-zijian","2021","30"
"Please Feel at Ease Mr. Ling","/61887-please-feel-at-ease-mr-ling","2021","24"
"You Are So Sweet","/51979-you-are-so-sweet","2020","24"
"First Romance","/36013-first-romance","2020","24"
"Marvelous Women","/61879-dang-jia-zhu-mu","2021","35"
"The Empress of China","/9215-the-empress-of-china","2014","96"
"Qing Luo","/53999-qing-luo","2021","24"
"Unchained Love","/699391-fu-tu-tower","2022","36"
"The Romance of Hua Rong","/49959-one-night-bride","2019","24"
"My Treasure","/63815-my-treasure","2021","35"
"Being a Hero","/53543-being-a-hero","2022","32"
"Twenty Your Life On","/38767-twenty-not-confused","2020","40"
"The Love by Hypnotic","/49481-the-love-by-hypnotic","2019","36"
"The Centimeter of Love","/53739-the-centimeter-of-love","2020","46"
"Sparrow","/16087-sparrow","2016","61"
"Oh My General","/20114-oh-my-general","2017","60"
"Across the Ocean to See You","/21034-across-the-ocean-to-see-you","2017","44"
"My Girl","/51207-my-girl","2020","24"
"The Little Nyonya","/44443-the-little-nyonya","2020","45"
"Unique Lady Season 3","/62043-unique-lady-2","2020","27"
"No Boundary","/51985-yu-zhao-ling","2021","32"
"She and Her Perfect Husband","/64781-the-80-20-rule-of-love","2022","40"
"Age of Legends","/24394-age-of-legends","2018","47"
"Evil Minds","/14890-evil-minds","2015","24"
"Make My Heart Smile","/62223-make-my-heart-smile","2021","24"
"Heroes","/67855-say-hero-who-is-hero","2022","38"
"Growling Tiger, Roaring Dragon","/25547-the-advisors-alliance-2","2017","44"
"Dreaming Back to the Qing Dynasty","/33098-dreaming-back-to-the-qing-dynasty","2019","40"
"Where the Lost Ones Go","/26279-where-the-lost-ones-go","2017","24"
"Double Love","/711609-mo-bai","2022","24"
"My Dear Guardian","/53547-dear-military-uniform","2021","40"
"Dine With Love","/689775-dine-with-love","2022","16"
"Fairyland Lovers","/33720-in-peng-lai","2020","35"
"Take My Brother Away","/29525-take-my-brother-away","2018","30"
"The Eight","/31573-the-eight","2020","34"
"Our Times","/65803-our-times","2021","36"
"Just an Encore","/33083-just-an-encore","2019","31"
"Symphony's Romance","/31265-cantabile-youth","2020","40"
"City of Streamer","/63607-liu-guang-zhi-cheng","2022","40"
"The Chang'an Youth","/33858-the-chang-an-youth","2020","24"
"Waiting for You in the Future","/30683-waiting-for-you-in-the-future","2019","36"
"Destined to Meet You","/726865-lovely-sister","2022","20"
"Court Lady","/33630-the-glorious-tang-stratagem","2021","55"
"You Are My Destiny","/31762-you-are-my-destiny","2020","36"
"Fall in Love","/31142-fall-in-love","2019","30"
"The Justice","/62121-light","2021","42"
"Finding Soul","/19492-finding-soul","2016","25"
"The Song of Glory","/33890-song-of-glory","2020","53"
"Mr Honesty","/49207-don-t-lie-to-your-lover","2020","31"
"Lie to Love","/65701-lie-to-love","2021","32"
"Love of Thousand Years","/34088-the-killing-of-three-thousand-crows","2020","30"
"Wu Xin: The Monster Killer","/14867-wu-xin-the-monster-killer","2015","20"
"Bloody Romance","/27510-bloody-romance","2018","36"
"Noble Aspirations Season 2","/21617-noble-aspirations-ii","2016","18"
"The Big Boss Season 2","/25990-the-big-boss-season-2","2017","18"
"With You","/16987-with-you","2016","24"
"The Dark Lord","/25294-the-dark-lord","2018","48"
"Love The Way You Are","/49875-love-the-way-you-are","2019","24"
"The World of Fantasy","/34069-spirit-realm","2021","36"
"Reborn","/40059-reborn","2020","28"
"Love the Way You Are","/692377-i-like-you-it-s-okay","2022","30"
"Beautiful Time With You","/39399-beautiful-time-with-you","2020","32"
"Cambrian Period","/23492-cambrian-period","2017","24"
"Dream Garden","/694367-sleeping-garden","2021","16"
"Because of Love","/54947-wang-hou-yu-sheng","2022","30"
"Meteor Garden","/23184-meteor-garden","2018","50"
"A Journey to Meet Love","/28610-finding-love-on-the-journey","2019","52"
"Ace Troops","/66887-ying-xiong-sui-yue-zhi-wang-pai-bu-dui","2021","40"
"Youth","/24642-youth","2018","26"
"Dr. Cutie","/39301-dr-cutie","2020","28"
"Please Don’t Spoil Me","/693279-wo-ping-ben-shi-jin-leng-gong","2022","24"
"An Oriental Odyssey","/22866-an-oriental-odyssey","2018","50"
"The Journey","/21024-the-journey","2017","12"
"My Sunshine","/9137-my-sunshine","2015","32"
"The Legend of Dugu","/21475-the-legend-of-dogu","2018","55"
"Candle in the Tomb: The Lost Caverns","/40149-candle-in-the-tomb-the-lost-caverns","2020","18"
"The Only Girl You Haven't Seen","/726755-the-only-girl-you-haven-t-seen-season-1","2022","18"
"Our Glamorous Time","/24203-our-glamorous-times","2018","50"
"Truth or Dare","/58587-flower-moon-and-round","2021","30"
"First Love Again","/64987-time-machine","2021","24"
"Seven of Me","/21802-seven-of-me","2017","38"
"Song of the Moon","/66261-ben-yue","2022","40"
"Out of the Dream","/62995-dreaming-of-lion","2021","30"
"The Legend of Zu Season 2","/26984-the-legend-of-zu-2","2018","48"
"My Amazing Boyfriend","/17399-my-amazing-boyfriend","2016","28"
"Light Chaser Rescue","/77577-the-light-of-life","2022","40"
"Mr. Fox and Miss Rose","/49951-mr-fox-and-miss-rose","2020","30"
"Never Say Goodbye","/30302-never-say-goodbye","2021","47"
"I Hear You","/29000-i-hear-you","2019","24"
"Hello, My Youth","/685611-welcome-high-school-students","2021","20"
"Accidentally in Love","/26841-accidentally-in-love","2018","30"
"Be My Princess","/79469-movie-king-and-his-princess","2022","30"
"Girlfriend","/49215-girlfriend","2020","36"
"Love Under the Full Moon","/76781-love-under-the-full-moon","2021","24"
"Love in Between","/31267-an-inch-of-yearning","2020","43"
"Decoded","/19168-decoded","2016","44"
"Miss Gu Who Is Silent","/46011-chen-mo-bu-yu-de-gu-xiao-jie","2020","20"
"The Fox's Summer","/21658-the-foxs-summer","2017","21"
"Dear Missy","/49313-gossip-girl","2020","36"
"The Destiny of White Snake","/22500-the-destiny-of-white-snake","2018","61"
"To Be a Better Man","/17440-to-be-a-better-man","2016","42"
"Burning Ice","/23842-burning-ice","2017","12"
"The Taoism Grandmaster","/21731-the-taoism-grandmaster","2018","46"
"Party A Who Lives Beside Me","/65895-party-a-who-lives-beside-me","2021","24"
"Kidnapping Game","/49963-oriole-in-the-post","2020","12"
"Love at Night","/75103-when-the-darkness-falls","2021","30"
"Dr. Tang","/691847-everything-about-doctor-tang","2022","36"
"The Flame's Daughter","/21920-liehuo-ruge","2018","52"
"The Whirlwind Girl","/14214-the-whirlwind-girl","2015","32"
"The Disappearing Child","/77641-sea-anemone","2022","12"
"Bureau of Transformer","/31736-bureau-of-transformer","2019","24"
"Candle in the Tomb: The Wrath of Time","/29196-candle-in-the-tomb-the-wrath-of-time","2019","21"
"Be My Cat","/58915-my-young-pet-general","2021","16"
"Well Dominated Love","/52923-nai-he-boss-you-ru-he","2020","24"
"Unique Lady Season 2","/59599-unique-lady-2","2019","12"
"Royal Feast","/51215-shang-shi","2022","40"
"Please Don't Spoil Me Season 2","/719905-please-don-t-spoil-me-season-2","2022","21"
"Unrequited Love","/28323-unrequited-love","2019","24"
"Love Designer","/40039-love-advanced-customization","2020","45"
"Truth","/64301-zhen-xiang","2021","32"
"The Trick of Life and Love","/60459-fox-romance","2021","32"
"The Romance of the Condor Heroes","/8032-the-romance-of-the-condor-heroes","2014","54"
"Decreed by Fate","/696239-qian-jin-nan-tao","2022","16"
"Don't Leave After School","/39411-don-t-leave-after-school","2021","24"
"My Deepest Dream","/65699-my-deepest-dream","2022","30"
"About Is Love","/28696-about-is-love","2018","30"
"I Will Find You a Better Home","/34571-your-home-is-my-business","2020","53"
"Novoland: Eagle Flag","/26037-novoland-eagle-flag","2019","56"
"Binary Love","/66361-san-hao-cha-sheng","2022","24"
"Out with a Bang","/68693-you-are-the-joy-of-my-youth","2022","24"
"We Are All Alone","/35251-we-are-all-alone","2020","36"
"The Romance of Hua Rong Season 2","/65771-the-romance-of-hua-rong-2","2022","24"
"Oh! My Emperor Season 2","/28898-oh-my-emperor-season-two","2018","21"
"Smile to Life","/75069-one-two-three-mu-tou-ren","2022","24"
"The Fox's Summer Season 2","/23364-the-foxs-summer-season-2","2017","23"
"The Psychologist","/65171-female-psychiatrist","2021","40"
"Listening Snow Tower","/27314-ting-xue-lou","2019","56"
"Crossroad Bistro","/63967-bei-zhe-nan-yuan","2021","30"
"Mr. Fighting","/31183-keep-going-you-re-the-best","2019","45"
"Cute Programmer","/63929-cute-programmer","2021","30"
"Healer of Children","/33941-healer-of-children","2020","44"
"Day Breaker","/77423-dark-walker","2022","24"
"Hello, the Sharpshooter","/66047-hello-the-sharpshooter","2022","40"
"All I Want for Love Is You","/49055-all-i-want-for-love-is-you","2019","32"
"Singing All Along","/8109-singing-all-along","2016","56"
"The Glory of Tang Dynasty","/21477-the-glory-of-tang-dynasty","2017","60"
"My Lonely Planet","/52329-my-lonely-planet","2020","24"
"Ni Chang","/54949-ni-chang","2021","40"
"Cuo Dian Yuan Yang","/8082-cuo-dian-yuan-yang","2012","25"
"The King's Woman","/22292-the-kings-woman","2017","48"
"Candle in the Tomb","/19236-candle-in-the-tomb","2016","21"
"The Listener","/31619-the-listener","2019","36"
"Love Script","/61855-love-script","2020","24"
"Ban Shu Legend","/10500-ban-shu-legend","2015","42"
"Candle in the Tomb: The Worm Valley","/60175-candle-in-the-tomb-the-worm-valley","2021","16"
"Lost in 1949","/21100-the-one-who-escapes","2018","46"
"The Imperial Doctress","/9532-the-imperial-doctress","2016","50"
"Hold On, My Lady","/694461-hold-on-my-lady","2021","12"
"My Fantastic Mrs Right Season 2","/60069-my-fantastic-mrs-right-season-2","2020","12"
"Swords of Legends","/7748-swords-of-legends","2014","52"
"L.O.R.D. Critical World","/29094-l-o-r-d-critical-world","2019","48"
"First Love","/77477-first-time-love-you-its-not-too-late","2022","24"
"Youth","/28322-youth","2018","24"
"Count Your Lucky Stars","/39181-the-exchange-luck","2020","34"
"Heart of Loyalty","/58947-yi-pian-bing-xin-zai-yu-hu","2021","24"
"Rebirth For You","/39691-mu-nan-zhi","2021","40"
"No Secrets","/33713-no-secrets","2019","32"
"The Night of the Comet Season 2","/53513-the-night-of-the-comet-2","2020","20"
"The Lost Tomb","/11050-the-lost-tomb","2015","10"
"Love Unexpected","/62445-love-unexpected","2021","24"
"Parallel Love","/43079-parallel-love","2020","24"
"Hot Blooded Youth","/26146-the-files-of-teenagers-in-the-concession","2019","58"
"Divorce Lawyers","/11008-divorce-lawyers","2014","46"
"Chasing Ball","/32206-chasing-ball","2019","36"
"Detective Chinatown","/49239-detective-chinatown","2020","12"
"Tribes and Empires: Storm of Prophecy","/17023-tribes-and-empires-storm-of-prophecy","2017","75"
"Legend of the Phoenix","/30566-legend-of-the-phoenix","2019","41"
"The Confidence","/32981-in-the-palm-of-my-hand","2020","40"
"Walk Into Your Memory","/33459-walk-into-your-memory","2019","24"
"The Story of Xing Fu","/58573-xing-fu-dao-wan-jia","2022","40"
"Old Boy","/23733-oldboy","2018","45"
"My Amazing Boyfriend Season 2","/21536-my-amazing-boyfriend-2","2019","38"
"Secretary Bai Wants to Resign Everyday","/741881-secretary-bai-wants-to-resign-everyday","2022","21"
"The Journey 2","/22610-the-journey-2","2017","12"
"Rule the World","/21733-rule-the-world","2017","45"
"Advance Bravely","/20098-advance-bravely","2017","30"
"Oh! My Emperor","/26812-oh-my-emperor","2018","21"
"Sweet First Love","/50121-sweet-first-love","2020","24"
"I Am the Years You Are the Stars","/71393-my-hundred-year-old-lover","2021","24"
"The Wolf Princess","/61069-ling-long-lang-xin","2021","24"
"Discovery of Romance","/707341-let-s-love-summer","2022","26"
"The Lady in Butcher's House","/77605-the-lady-in-butcher-s-house","2022","36"
"To Get Her","/33034-to-get-her","2019","30"
